video,fold
58106_002918,2
57584_000336,1
57911_000147,1
57686_002546,2
58103_003494,0
57910_001164,2
58095_004022,0
57778_004244,1
58102_002798,0
58104_000352,2
57679_003316,1
57680_003470,2
57788_000781,3
57790_002792,0
57993_000475,1
57684_001985,3
57995_000109,2
57907_003615,1
57784_001741,0
57904_001367,3
57913_000218,0
57787_003413,1
57992_000350,0
57676_003572,3
58005_001612,3
57586_001934,1
57700_001264,3
57680_002206,1
57786_003085,2
57586_000540,0
58098_001193,3
57596_002686,0
57785_002026,1
58094_002819,0
58093_001923,2
57783_003374,2
57906_000718,2
57782_000600,2
57905_002404,3
57682_002630,0
57992_000301,2
57584_002674,3
57775_000933,1
58107_004362,3
57997_003691,2
57594_000923,0
57583_000082,0
57781_000252,3
57790_002839,2
58005_001254,3
58094_000423,1
57597_001242,0
57586_004152,3
57911_002492,3
57912_001325,0
57597_000658,2
58000_001306,1
58048_000086,1
57915_003093,1
57998_002181,3
